nom_du_projet,resume_du_projet,montant_engage,numero_dossier_ds,numero_ej,numero_operateur,operateur,demarche,nom_region,nom_departement,code_departement,siret_beneficiaire,raison_sociale_beneficiaire,forme_juridique_beneficiaire,code_commune,nom_commune
Mise en œuvre des ACTIONS de la déclinaison régionale du Plan National d'Actions en faveur de l'Aigle de Bonelli de 2024 à 2025,"Déclinaison en Région AuRA du PNA Aigle de Bonelli ciblant les actions prioritaires de ce dernier. Assurer une veille des sites de reproduction et domaines vitaux des 4 couples d'Ardèche, des sites vacants et potentiels : relever les activités humaines perturbantes (Travaux, Sport, survol) et les réactions des aigles à travers la phénologie de leur reproduction et leurs comportements face aux perturbations. Ceci est réalisé à l'aide de méthodes et outils permettant d'identifier les aigles : 1/Le baguage des jeunes au nid, 2/la lecture des bagues de chaque individu observé (cantonnés ou erratique), 3/la pose de GPS sur des aigles cantonnés, 4/la visualisation et l'analyse des localisations GPS permettant de préciser le domaine vital utilisé par chacun et d’identifier les secteurs à risque (menaces : lignes électriques, artificialisation des sols). Animations/Interventions grand public et cible (pratiquant sports, élus, résidents).",27000.00,17175934,2104645473,,,SN Biodiversité,Auvergne-Rhône-Alpes,Ardèche,07,30112510000158,LPO AUVERGNE RHONE-ALPES,Association déclarée,07330,Vallon-Pont-d'Arc
Restauration de corridors écologiques pour la petite faune arboricole : pose d’écuroducs Route du Tour de France aux Sables d'Olonne,"Face au constat régulier d’écrasements d’écureuils roux sur la Route du Tour de France aux Sables d'Olonne, la municipalité a décidé d’agir et de reconnecter les habitats boisés (trame verte)  grâce à la pose de ""ponts"" aériens sous la forme de cordes adaptées au passage de la petite faune arboricole, appelés écuroducs. En novembre 2023, une étude de faisabilité a été confiée à l’association COHAB spécialisée dans la pose d’écuroducs. Cette étude a permis d’identifier deux passages aériens à connecter permettant aux écureuils de réaliser les déplacements indispensables à leur cycle de vie.  Le qualité des arbres existants ne permettant pas d’accueillir un dispositif d'aéroduc, il a été retenu d’utiliser des mâts pour soutenir l’écuroduc principal traversant la route et de le prolonger par des aéroducs secondaires reliés aux arbres situés de part et d'autres de la voie, offrant une connexion optimale du corridor. 

",17805.00,17290223,,,,SN Biodiversité,Pays de la Loire,Vendée,85,20008213900011,COMMUNE LES SABLES-D'OLONNE,Commune et commune nouvelle,85194,Les Sables-d'Olonne
Valorisation écologique du bassin du Carouge. ,"Le projet de valorisation écologique du bassin du Carouge à Brétigny-sur-Orge vise à enrichir la biodiversité, à réduire la prolifération en cyanobactéries sur le site  et augmenter la capacité de rétention du site par la création d'habitats diversifiés, dont des roselières et des herbiers. En effet, le site manque aujourd’hui d’habitats caractéristiques des zones humides et est fortement eutrophisé en été. Des travaux de terrassement et des plantations limités encourageront une colonisation naturelle de la végétation de zones humides et milieux aquatiques. Le projet prévoit aussi de sectoriser les espaces pour minimiser les perturbations et améliorer l'attractivité du site pour les usagers. Le Syndicat de l’Orge, propriétaire du site, mènera un suivi pour évaluer l'impact du projet. La demande de financement auprès du Fonds Vert porte sur les travaux de terrassement liés au volet écologique du projet.",223421.00,17504084,,1110881,Seine-Normandie,SN Biodiversité,Île-de-France,Essonne,91,20008774000011,"SYNDICAT DE L'ORGE, DE LA REMARDE ET DE LA PREDECELLE (SYORP)",Syndicat mixte fermé,91103,Brétigny-sur-Orge
Mieux concilier usages et protection des réserves naturelles de Haute-Savoie,"Toutes les réserves de Haute-Savoie sont ainsi soumises à une très forte pression de fréquentation été comme hiver. En effet, depuis quelques années, cette pression devient de plus en plus constante au fil des saisons, n’offrant plus de période de quiétude à la faune. 
Les réserves abritent également des activités « traditionnelles » (Alpages, chasse, exploitation forestière) que le gestionnaire cherche à intégrer de façon à permettre de pérenniser ces activités tout en réduisant au mieux les impacts sur la biodiversité. Un équilibre peut être trouvé entre usages et protection afin que la nature puisse perdurer tout en restant accessible aux activités humaines.  
Face aux constats de l’évolution des pratiques, des nouveaux défis doivent être relevés pour maintenir cet équilibre.",280880.00,17735942,2104667537,,,SN Biodiversité,Auvergne-Rhône-Alpes,Haute-Savoie,74,32635617700179,ASTERS CONSERVATOIRE D'ESPACES NATURELS DE HAUTE-SAVOIE,Association déclarée,74010,Annecy
"Mise en œuvre d'actions ""Loutre et pisciculture"" du PNA en faveur de la Loutre d'Europe","La Loutre d’Europe fait actuellement l’objet d’un second PNA (2019-2028). Dans le cadre de l'Action 5, un animateur « Loutre et pisciculture » a été nommé depuis le premier PNA afin de sensibiliser et de conseiller les exploitants aquacoles sur les mesures de protection à mettre en place face a la prédation de la Loutre. Les objectifs du projet visent à favoriser la cohabitation entre la Loutre et les activités piscicoles à travers la poursuite de la réalisation d’expertises, la formation de nouveaux animateurs à la médiation dans les régions, la mise en place de mesures de protection (clôtures et grilles) au sein de piscicultures en bassin, l’expérimentation d’une méthode de protection des grands étangs de pisciculture par effarouchement lumineux et la rédaction d'un guide technique à destination des pisciculteurs.",74995.00,17782943,2104682848,,,SN Biodiversité,Nouvelle-Aquitaine,Haute-Vienne,87,34839837100024,SOC FRANC ETUDE PROTECTION MAMMIFERES,Association déclarée,87085,Limoges
Atlas de la Biodiversité de la Commune de St Laurent d'Agny,"Située en zone péri-urbaine de Lyon, la commune de Saint Laurent d’Agny a conscience de la qualité de son environnement mais aussi de sa fragilité et de la nécessité de la préservation.
L’ABC de Saint Laurent d’Agny est une suite logique des actions déjà engagées par la commune dans le domaine de l’environnement et du développement durable, et ambitionne de parvenir à élargir sa dynamique à l’échelle des autres communes du Plateau Mornantais. 
L’ambition est de faire progressivement de la biodiversité l’affaire de tous : citoyens, élus, associations, écoles, agents, acteurs économiques, agriculteurs en les associant aux diverses actions.  L’Atlas de la Biodiversité s’attachera à mettre en place une démarche participative.
Les restitutions publiques des résultats et des cartographies réalisées viseront à développer une culture communale de la biodiversité, elles devront mobiliser et fédérer l’ensemble des acteurs autour des actions qui seront mises en place à l’issue de l’ABC.
Cet ABC vient s’intégrer au Label “Territoire Engagé pour la Nature” de la communauté de communes COPAMO.",38000.00,17808976,,,,SN Biodiversité,Auvergne-Rhône-Alpes,Rhône,69,21690219700013,COMMUNE DE SAINT LAURENT D AGNY,Commune et commune nouvelle,69219,Saint-Laurent-d'Agny
Rédaction du 3ème plan de gestion de la Réserve Naturelle Nationale De l’Amana (RNNA) 2025-2030 ,"La RNNA s’étend sur 14800 ha de biotopes divers.   Ses plages accueillent la ponte de 4 espèces de tortues marines. La zone littorale est un haut lieu de vie de l’avifaune. Les mammifères, dont le jaguar y évoluent sans compter les nombreux reptiles.  

Missions: préservation/surveillance; études afin d'améliorer les connaissances ; la diffusion des connaissances acquises au grand public, aux scolaires. Une convention renouvelée en 2024 entre la Préfecture de la Guyane et le Syndicat Mixte du Parc Naturel de la Guyane (SMPNRG), confie la gestion au SMPNRG.  

L'absence de Conservateur à ce jour, et les compétences de l'équipe de 6 agents techniciens, motivent l'externalisation de la rédaction du nouveau plan de gestion 2025-2030. 

Le SMPNRG propose de faire appel à une expertise externe, spécialisée dans l'élaboration des plans de gestion. La prestation sera suivie en collaboration étroite avec le Conservateur, le pouvoir adjudicateur, et la DGTM. 
",40500.00,17854991,2104903831,,,SN Biodiversité,Guyane,Guyane,973,25973108100016,SYNDICAT MIXTE PARC NATUREL REGIONAL DE GUYANE,Syndicat mixte fermé,97302,Cayenne
Aménagements de gestion et d'acceuil du public sur les îles et Lônes du Rhône ,"Le projet vise à réfection et à l'amélioration des aménagements de découverte de l'espace naturel des îles et lônes du Rhône. Cette refonte du schéma d'accueil des publics vise également à mieux maîtriser les flux dans un contexte d'augmentation récente de la fréquentation et des usages sur le site (doublement en 5 ans). L'espace naturel est inscrit dans le plan d’action départemental 2022-2024 de la Stratégie des Aires Protégées. Un processus de concertation avec les acteurs du territoire est en cours, animé par la DDT du Rhône, afin de définir conjointement un projet d’amélioration du ou des statuts règlementaires de préservation.
Le cofinancement de la refonte des aménagements d'accueil du public est également inscrit dans le cadre du contrat métropolitain « pour une ville perméable en harmonie avec ses ressources en eu et ses milieux aquatiques 2022-2024 » (cofinancement de 30%). Le projet a été présenté une première fois au fond vert 2023.",89598.00,17861846,2104672857,,,SN Biodiversité,Auvergne-Rhône-Alpes,Rhône,69,25690198400029,S.M. DU RHONE DES ILES ET DES LOSNES,Syndicat mixte ouvert,69296,Solaize
Restauration et entretien d'un réseau de pelouses sèches dans l'ouest de la Touraine,"Dans l’Ouest de la Touraine, nombreux sont les territoires composés de coteaux avec des affleurements de craie, notamment dans le val de Vienne, val de Loire, le Bourgueillois et le Richelais. On retrouve également des zones sableuses alluvionnaires sur les bords de Loire, qui avec les coteaux calcaires, sont à l’origine de la formation d’habitats originaux appelés pelouses. Le CPIE Touraine val de Loire, grâce à son expérience de l'entretien et la restauration des pelouses sèches dans le val de Vienne, a pour objectif de restaurer et entretenir 18 sites abritant des pelouses sèches d'intérêts pour les rhopalocères. ",36192.00,17886870,2104674497,,,SN Biodiversité,Centre-Val de Loire,Indre-et-Loire,37,31656993800020,VAL DE VIENNE,Association déclarée,37147,Marcilly-sur-Vienne
Valorisation des paysages et préservation des espaces naturels boisés accueillant du public dans la forêt de Huelgoat,"La commune de Huelgoat est propriétaire de 5 ha à l’entrée de la forêt et son chaos rocheux (Ménage de la Vierge). C'est un site emblématique dont les valeurs écologiques et paysagères sont reconnues. La fréquentation croissante (120 000 visiteurs par an) entraine en effet une dégradation des stations d'espèces protégées (plaque d'hyménophylles), des problèmes de sécurité et une dégradation de la qualité paysagère. La forêt a fait l’objet de différentes études stratégiques dont un schéma d'accueil porté par l'ONF (2018) et un plan de paysage. Les objectifs de ce projet sont: de canaliser et sécuriser la fréquentation, préserver les patrimoines naturels et paysagers et requalifier les sites dégradés, sensibiliser les visiteurs en valorisant les richesses patrimoniales. La commune souhaite engager une étude avec une équipe pluridisciplinaire pilotée par un paysagiste concepteur, accompagné d'un écologue et d'un scénographe.",30000.00,17899264,,REG-2025-03014,Agence de l'eau,SN Biodiversité,Bretagne,Finistère,29,21290081500011,COMMUNE DE HUELGOAT,Commune et commune nouvelle,29081,Huelgoat
